# ----------------------------------------
# 全部移动应用数据
# 互动度概览
# 20160101-20191017
# ----------------------------------------

天索引,平均屏幕停留时间
2018/7/25,00:01:00
2018/7/26,00:00:51
2018/7/27,00:00:52
2018/7/28,00:00:49
2018/7/29,00:00:42
2018/7/30,00:00:43
2018/7/31,00:00:45
2018/8/1,00:00:45
2018/8/2,00:00:45
2018/8/3,00:00:43
2018/8/4,00:00:39
2018/8/5,00:00:37
2018/8/6,00:00:41
2018/8/7,00:00:40
2018/8/8,00:00:40
2018/8/9,00:00:44
2018/8/10,00:00:42
2018/8/11,00:00:38
2018/8/12,00:00:35
2018/8/13,00:00:39
2018/8/14,00:00:38
2018/8/15,00:00:37
2018/8/16,00:00:38
2018/8/17,00:00:37
2018/8/18,00:00:32
2018/8/19,00:00:30
2018/8/20,00:00:31
2018/8/21,00:00:37
2018/8/22,00:00:36
2018/8/23,00:00:39
2018/8/24,00:00:39
2018/8/25,00:00:34
2018/8/26,00:00:33
2018/8/27,00:00:36
2018/8/28,00:00:39
2018/8/29,00:00:38
2018/8/30,00:00:39
2018/8/31,00:00:41
2018/9/1,00:00:34
2018/9/2,00:00:29
2018/9/3,00:00:33
2018/9/4,00:00:36
2018/9/5,00:00:34
2018/9/6,00:00:37
2018/9/7,00:00:38
2018/9/8,00:00:33
2018/9/9,00:00:33
2018/9/10,00:00:36
2018/9/11,00:00:38
2018/9/12,00:00:38
2018/9/13,00:00:54
2018/9/14,00:00:42
2018/9/15,00:00:41
2018/9/16,00:00:31
2018/9/17,00:00:36
2018/9/18,00:00:37
2018/9/19,00:00:42
2018/9/20,00:00:39
2018/9/21,00:00:40
2018/9/22,00:00:35
2018/9/23,00:00:32
2018/9/24,00:00:33
2018/9/25,00:00:37
2018/9/26,00:00:37
2018/9/27,00:00:41
2018/9/28,00:00:41
2018/9/29,00:00:38
2018/9/30,00:00:35
2018/10/1,00:00:32
2018/10/2,00:00:30
2018/10/3,00:00:30
2018/10/4,00:00:27
2018/10/5,00:00:26
2018/10/6,00:00:27
2018/10/7,00:00:26
2018/10/8,00:00:32
2018/10/9,00:00:35
2018/10/10,00:00:40
2018/10/11,00:00:36
2018/10/12,00:00:38
2018/10/13,00:00:35
2018/10/14,00:00:31
2018/10/15,00:00:37
2018/10/16,00:00:37
2018/10/17,00:00:42
2018/10/18,00:00:37
