# ----------------------------------------
# 全部移动应用数据
# 热门事件
# 20160101-20191017
# ----------------------------------------

事件操作,事件总数,唯一身份事件数,事件价值,平均价值
Back,"7,631,552","2,832,772",0,0.00
LoadMore,"6,468,698","2,743,218","3,010,495",0.47
ToArticle,"4,817,297","2,725,495",0,0.00
FocusArticle,"4,520,922","2,923,506",0,0.00
SlideBack,"2,923,974","1,227,013",0,0.00
CommonArticle,"2,493,726","985,253",0,0.00
HomeLoadNextPage,"1,341,615","647,956","1,341,615",1.00
ToHomePage,"958,271","731,426",0,0.00
ClickBackButton,"683,037","378,827",0,0.00
PhysicalBack,"614,626","254,519",0,0.00
,"40,278,431","20,621,008","4,486,104",0.11

天索引,事件总数
2018/5/20,"18,843"
2018/5/21,"24,947"
2018/5/22,"21,325"
2018/5/23,"24,907"
2018/5/24,"23,584"
2018/5/25,"19,290"
2018/5/26,"22,790"
2018/5/27,"19,412"
2018/5/28,"25,944"
2018/5/29,"19,901"
2018/5/30,"21,936"
2018/5/31,"29,241"
2018/6/1,"116,027"
2018/6/2,"114,419"
2018/6/3,"106,484"
2018/6/4,"84,731"
2018/6/5,"101,824"
2018/6/6,"88,577"
2018/6/7,"69,470"
2018/6/8,"54,330"
2018/6/9,"56,080"
2018/6/10,"37,543"
2018/6/11,"39,578"
2018/6/12,"45,743"
2018/6/13,"59,051"
2018/6/14,"53,374"
2018/6/15,"45,703"
2018/6/16,"36,912"
2018/6/17,"37,095"
2018/6/18,"36,200"
2018/6/19,"47,310"
2018/6/20,"55,633"
2018/6/21,"49,935"
2018/6/22,"42,610"
2018/6/23,"35,284"
2018/6/24,"29,424"
2018/6/25,"46,659"
2018/6/26,"42,081"
2018/6/27,"41,938"
2018/6/28,"45,113"
2018/6/29,"46,720"
2018/6/30,"27,776"
2018/7/1,"38,866"
2018/7/2,"44,970"
2018/7/3,"42,935"
2018/7/4,"43,179"
2018/7/5,"55,775"
2018/7/6,"56,630"
2018/7/7,"49,162"
2018/7/8,"39,781"
2018/7/9,"45,825"
2018/7/10,"50,464"
2018/7/11,"64,851"
2018/7/12,"60,679"
2018/7/13,"61,778"
2018/7/14,"44,563"
2018/7/15,"38,194"
2018/7/16,"52,845"
2018/7/17,"47,880"
2018/7/18,"54,554"
2018/7/19,"59,255"
2018/7/20,"47,595"
2018/7/21,"46,456"
2018/7/22,"46,293"
2018/7/23,"44,970"
2018/7/24,"49,915"
2018/7/25,"53,781"
2018/7/26,"46,171"
2018/7/27,"37,441"
2018/7/28,"33,087"
2018/7/29,"31,011"
2018/7/30,"36,912"
2018/7/31,"34,714"
2018/8/1,"43,363"
2018/8/2,"37,930"
2018/8/3,"37,807"
2018/8/4,"31,683"
2018/8/5,"29,200"
2018/8/6,"32,293"
2018/8/7,"34,470"
2018/8/8,"43,871"
2018/8/9,"52,621"
2018/8/10,"41,002"
2018/8/11,"33,697"
2018/8/12,"34,002"
2018/8/13,"43,973"
2018/8/14,"35,569"
2018/8/15,"35,427"
2018/8/16,"45,804"
2018/8/17,"37,889"
2018/8/18,"27,613"
2018/8/19,"37,869"
2018/8/20,"28,793"
2018/8/21,"40,392"
2018/8/22,"35,223"
2018/8/23,"44,014"
2018/8/24,"43,464"
2018/8/25,"28,264"
2018/8/26,"30,563"
2018/8/27,"31,398"
2018/8/28,"33,555"
2018/8/29,"39,395"
2018/8/30,"49,386"
2018/8/31,"53,516"
2018/9/1,"38,743"
2018/9/2,"30,747"
2018/9/3,"29,790"
2018/9/4,"37,258"
2018/9/5,"29,851"
2018/9/6,"35,101"
2018/9/7,"32,212"
2018/9/8,"33,514"
2018/9/9,"32,090"
2018/9/10,"48,979"
2018/9/11,"64,240"
2018/9/12,"53,252"
2018/9/13,"123,108"
2018/9/14,"58,909"
2018/9/15,"47,127"
2018/9/16,"35,732"
2018/9/17,"43,403"
2018/9/18,"57,586"
2018/9/19,"42,813"
2018/9/20,"52,072"
2018/9/21,"53,761"
2018/9/22,"42,772"
2018/9/23,"32,944"
2018/9/24,"36,057"
2018/9/25,"39,354"
2018/9/26,"41,755"
2018/9/27,"56,894"
2018/9/28,"46,557"
2018/9/29,"42,956"
2018/9/30,"37,055"
2018/10/1,"25,924"
2018/10/2,"27,043"
2018/10/3,"25,395"
2018/10/4,"25,680"
2018/10/5,"22,912"
2018/10/6,"24,764"
2018/10/7,"24,479"
2018/10/8,"32,944"
2018/10/9,"37,807"
2018/10/10,"43,424"
2018/10/11,"34,979"
2018/10/12,"40,555"
2018/10/13,"29,281"
2018/10/14,"25,578"
2018/10/15,"36,912"
2018/10/16,"42,549"
2018/10/17,"54,595"
2018/10/18,"49,487"
2018/10/19,"53,578"
